Asignacion,Fecha base,Fiesta,Año,Fecha
No se mueve,1 de enero,Año Nuevo,1995,1995-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1995,1995-01-09
Al lunes siguiente,19 de marzo,San José,1995,1995-03-20
Con respecto a la Pascua,Pascua,Domingo de Ramos,1995,1995-04-09
Con respecto a la Pascua,Pascua,Jueves Santo,1995,1995-04-13
Con respecto a la Pascua,Pascua,Viernes Santo,1995,1995-04-14
Con respecto a la Pascua,Pascua,Domingo de Pascua,1995,1995-04-16
No se mueve,1 de mayo,Día del Trabajo,1995,1995-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1995,1995-05-29
Con respecto a la Pascua,Pascua,Corpus Christi,1995,1995-06-19
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1995,1995-06-26
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1995,1995-07-03
No se mueve,20 de julio,Día de la Independencia,1995,1995-07-20
No se mueve,7 de agosto,Batalla de Boyacá,1995,1995-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,1995,1995-08-21
Al lunes siguiente,12 de octubre,Día de la Raza,1995,1995-10-16
Al lunes siguiente,1 de noviembre,Todos los Santos,1995,1995-11-06
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,1995,1995-11-13
No se mueve,8 de diciembre,Inmaculada Concepción,1995,1995-12-08
No se mueve,25 de diciembre,Navidad,1995,1995-12-25
No se mueve,1 de enero,Año Nuevo,1996,1996-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1996,1996-01-08
Al lunes siguiente,19 de marzo,San José,1996,1996-03-25
Con respecto a la Pascua,Pascua,Domingo de Ramos,1996,1996-03-31
Con respecto a la Pascua,Pascua,Jueves Santo,1996,1996-04-04
Con respecto a la Pascua,Pascua,Viernes Santo,1996,1996-04-05
Con respecto a la Pascua,Pascua,Domingo de Pascua,1996,1996-04-07
No se mueve,1 de mayo,Día del Trabajo,1996,1996-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1996,1996-05-20
Con respecto a la Pascua,Pascua,Corpus Christi,1996,1996-06-10
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1996,1996-06-17
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1996,1996-07-01
No se mueve,20 de julio,Día de la Independencia,1996,1996-07-20
No se mueve,7 de agosto,Batalla de Boyacá,1996,1996-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,1996,1996-08-19
Al lunes siguiente,12 de octubre,Día de la Raza,1996,1996-10-14
Al lunes siguiente,1 de noviembre,Todos los Santos,1996,1996-11-04
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,1996,1996-11-11
No se mueve,8 de diciembre,Inmaculada Concepción,1996,1996-12-08
No se mueve,25 de diciembre,Navidad,1996,1996-12-25
No se mueve,1 de enero,Año Nuevo,1997,1997-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1997,1997-01-06
Al lunes siguiente,19 de marzo,San José,1997,1997-03-24
Con respecto a la Pascua,Pascua,Domingo de Ramos,1997,1997-03-23
Con respecto a la Pascua,Pascua,Jueves Santo,1997,1997-03-27
Con respecto a la Pascua,Pascua,Viernes Santo,1997,1997-03-28
Con respecto a la Pascua,Pascua,Domingo de Pascua,1997,1997-03-30
No se mueve,1 de mayo,Día del Trabajo,1997,1997-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1997,1997-05-12
Con respecto a la Pascua,Pascua,Corpus Christi,1997,1997-06-02
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1997,1997-06-09
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1997,1997-06-30
No se mueve,20 de julio,Día de la Independencia,1997,1997-07-20
No se mueve,7 de agosto,Batalla de Boyacá,1997,1997-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,1997,1997-08-18
Al lunes siguiente,12 de octubre,Día de la Raza,1997,1997-10-13
Al lunes siguiente,1 de noviembre,Todos los Santos,1997,1997-11-03
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,1997,1997-11-17
No se mueve,8 de diciembre,Inmaculada Concepción,1997,1997-12-08
No se mueve,25 de diciembre,Navidad,1997,1997-12-25
No se mueve,1 de enero,Año Nuevo,1998,1998-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1998,1998-01-12
Al lunes siguiente,19 de marzo,San José,1998,1998-03-23
Con respecto a la Pascua,Pascua,Domingo de Ramos,1998,1998-04-05
Con respecto a la Pascua,Pascua,Jueves Santo,1998,1998-04-09
Con respecto a la Pascua,Pascua,Viernes Santo,1998,1998-04-10
Con respecto a la Pascua,Pascua,Domingo de Pascua,1998,1998-04-12
No se mueve,1 de mayo,Día del Trabajo,1998,1998-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1998,1998-05-25
Con respecto a la Pascua,Pascua,Corpus Christi,1998,1998-06-15
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1998,1998-06-22
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1998,1998-06-29
No se mueve,20 de julio,Día de la Independencia,1998,1998-07-20
No se mueve,7 de agosto,Batalla de Boyacá,1998,1998-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,1998,1998-08-17
Al lunes siguiente,12 de octubre,Día de la Raza,1998,1998-10-12
Al lunes siguiente,1 de noviembre,Todos los Santos,1998,1998-11-02
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,1998,1998-11-16
No se mueve,8 de diciembre,Inmaculada Concepción,1998,1998-12-08
No se mueve,25 de diciembre,Navidad,1998,1998-12-25
No se mueve,1 de enero,Año Nuevo,1999,1999-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1999,1999-01-11
Al lunes siguiente,19 de marzo,San José,1999,1999-03-22
Con respecto a la Pascua,Pascua,Domingo de Ramos,1999,1999-03-28
Con respecto a la Pascua,Pascua,Jueves Santo,1999,1999-04-01
Con respecto a la Pascua,Pascua,Viernes Santo,1999,1999-04-02
Con respecto a la Pascua,Pascua,Domingo de Pascua,1999,1999-04-04
No se mueve,1 de mayo,Día del Trabajo,1999,1999-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1999,1999-05-17
Con respecto a la Pascua,Pascua,Corpus Christi,1999,1999-06-07
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1999,1999-06-14
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1999,1999-07-05
No se mueve,20 de julio,Día de la Independencia,1999,1999-07-20
No se mueve,7 de agosto,Batalla de Boyacá,1999,1999-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,1999,1999-08-16
Al lunes siguiente,12 de octubre,Día de la Raza,1999,1999-10-18
Al lunes siguiente,1 de noviembre,Todos los Santos,1999,1999-11-01
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,1999,1999-11-15
No se mueve,8 de diciembre,Inmaculada Concepción,1999,1999-12-08
No se mueve,25 de diciembre,Navidad,1999,1999-12-25
No se mueve,1 de enero,Año Nuevo,2000,2000-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2000,2000-01-10
Al lunes siguiente,19 de marzo,San José,2000,2000-03-20
Con respecto a la Pascua,Pascua,Domingo de Ramos,2000,2000-04-16
Con respecto a la Pascua,Pascua,Jueves Santo,2000,2000-04-20
Con respecto a la Pascua,Pascua,Viernes Santo,2000,2000-04-21
Con respecto a la Pascua,Pascua,Domingo de Pascua,2000,2000-04-23
No se mueve,1 de mayo,Día del Trabajo,2000,2000-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2000,2000-06-05
Con respecto a la Pascua,Pascua,Corpus Christi,2000,2000-06-26
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2000,2000-07-03
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2000,2000-07-03
No se mueve,20 de julio,Día de la Independencia,2000,2000-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2000,2000-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2000,2000-08-21
Al lunes siguiente,12 de octubre,Día de la Raza,2000,2000-10-16
Al lunes siguiente,1 de noviembre,Todos los Santos,2000,2000-11-06
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2000,2000-11-13
No se mueve,8 de diciembre,Inmaculada Concepción,2000,2000-12-08
No se mueve,25 de diciembre,Navidad,2000,2000-12-25
No se mueve,1 de enero,Año Nuevo,2001,2001-01-01
