Asignacion,Fecha base,Fiesta,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
No se mueve,1 de enero,Año Nuevo,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),1995-01-09,1996-01-08,1997-01-06,1998-01-12,1999-01-11,2000-01-10,2001-01-08,2002-01-07,2003-01-06,2004-01-12,2005-01-10,2006-01-09,2007-01-08,2008-01-07,2009-01-12,2010-01-11,2011-01-10,2012-01-09,2013-01-07,2014-01-06,2015-01-12,2016-01-11,2017-01-09,2018-01-08
Al lunes siguiente,19 de marzo,San José,1995-03-20,1996-03-25,1997-03-24,1998-03-23,1999-03-22,2000-03-20,2001-03-19,2002-03-25,2003-03-24,2004-03-22,2005-03-21,2006-03-20,2007-03-19,2008-03-24,2009-03-23,2010-03-22,2011-03-21,2012-03-19,2013-03-25,2014-03-24,2015-03-23,2016-03-21,2017-03-20,2018-03-19
Con respecto a la Pascua,Pascua,Domingo de Ramos,1995-04-09,1996-03-31,1997-03-23,1998-04-05,1999-03-28,2000-04-16,2001-04-08,2002-03-24,2003-04-13,2004-04-04,2005-03-20,2006-04-09,2007-04-01,2008-03-16,2009-04-05,2010-03-28,2011-04-17,2012-04-01,2013-03-24,2014-04-13,2015-03-29,2016-03-20,2017-04-09,2018-03-25
Con respecto a la Pascua,Pascua,Jueves Santo,1995-04-13,1996-04-04,1997-03-27,1998-04-09,1999-04-01,2000-04-20,2001-04-12,2002-03-28,2003-04-17,2004-04-08,2005-03-24,2006-04-13,2007-04-05,2008-03-20,2009-04-09,2010-04-01,2011-04-21,2012-04-05,2013-03-28,2014-04-17,2015-04-02,2016-03-24,2017-04-13,2018-03-29
Con respecto a la Pascua,Pascua,Viernes Santo,1995-04-14,1996-04-05,1997-03-28,1998-04-10,1999-04-02,2000-04-21,2001-04-13,2002-03-29,2003-04-18,2004-04-09,2005-03-25,2006-04-14,2007-04-06,2008-03-21,2009-04-10,2010-04-02,2011-04-22,2012-04-06,2013-03-29,2014-04-18,2015-04-03,2016-03-25,2017-04-14,2018-03-30
Con respecto a la Pascua,Pascua,Domingo de Pascua,1995-04-16,1996-04-07,1997-03-30,1998-04-12,1999-04-04,2000-04-23,2001-04-15,2002-03-31,2003-04-20,2004-04-11,2005-03-27,2006-04-16,2007-04-08,2008-03-23,2009-04-12,2010-04-04,2011-04-24,2012-04-08,2013-03-31,2014-04-20,2015-04-05,2016-03-27,2017-04-16,2018-04-01
No se mueve,1 de mayo,Día del Trabajo,1995-05-01,1996-05-01,1997-05-01,1998-05-01,1999-05-01,2000-05-01,2001-05-01,2002-05-01,2003-05-01,2004-05-01,2005-05-01,2006-05-01,2007-05-01,2008-05-01,2009-05-01,2010-05-01,2011-05-01,2012-05-01,2013-05-01,2014-05-01,2015-05-01,2016-05-01,2017-05-01,2018-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,1995-05-29,1996-05-20,1997-05-12,1998-05-25,1999-05-17,2000-06-05,2001-05-28,2002-06-10,2003-06-02,2004-05-24,2005-05-09,2006-05-29,2007-05-21,2008-05-06,2009-05-25,2010-05-17,2011-06-06,2012-05-21,2013-05-13,2014-06-02,2015-05-18,2016-05-09,2017-05-29,2018-05-14
Con respecto a la Pascua,Pascua,Corpus Christi,1995-06-19,1996-06-10,1997-06-02,1998-06-15,1999-06-07,2000-06-26,2001-06-18,2002-06-03,2003-06-23,2004-06-14,2005-05-30,2006-06-19,2007-06-11,2008-05-26,2009-06-15,2010-06-07,2011-06-27,2012-06-11,2013-06-03,2014-06-23,2015-06-08,2016-05-30,2017-06-19,2018-06-04
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,1995-06-26,1996-06-17,1997-06-09,1998-06-22,1999-06-14,2000-07-03,2001-06-25,2002-06-10,2003-06-30,2004-06-21,2005-06-06,2006-06-26,2007-06-18,2008-06-02,2009-06-22,2010-06-14,2011-07-04,2012-06-18,2013-06-10,2014-06-30,2015-06-15,2016-06-06,2017-06-26,2018-06-11
Al lunes siguiente,29 de junio,San Pedro y San Pablo,1995-07-03,1996-07-01,1997-06-30,1998-06-29,1999-07-05,2000-07-03,2001-07-02,2002-07-01,2003-06-30,2004-07-05,2005-07-04,2006-07-03,2007-07-02,2008-06-30,2009-06-29,2010-07-05,2011-07-04,2012-07-02,2013-07-01,2014-06-30,2015-06-29,2016-07-04,2017-07-03,2018-07-02
No se mueve,20 de julio,Día de la Independencia,1995-07-20,1996-07-20,1997-07-20,1998-07-20,1999-07-20,2000-07-20,2001-07-20,2002-07-20,2003-07-20,2004-07-20,2005-07-20,2006-07-20,2007-07-20,2008-07-20,2009-07-20,2010-07-20,2011-07-20,2012-07-20,2013-07-20,2014-07-20,2015-07-20,2016-07-20,2017-07-20,2018-07-20
