Fecha,IPC
1954-07-01,0.03770
1954-08-01,0.03742
1954-09-01,0.03690
1954-10-01,0.03703
1954-11-01,0.03713
1954-12-01,0.03733
1955-01-01,0.03726
1955-02-01,0.03724
1955-03-01,0.03739
1955-04-01,0.03765
1955-05-01,0.03749
1955-06-01,0.03746
1955-07-01,0.03738
1955-08-01,0.03741
1955-09-01,0.03721
1955-10-01,0.03731
1955-11-01,0.03766
1955-12-01,0.03808
1956-01-01,0.03805
1956-02-01,0.03820
1956-03-01,0.03855
1956-04-01,0.03880
1956-05-01,0.03908
1956-06-01,0.03944
1956-07-01,0.03975
1956-08-01,0.03957
1956-09-01,0.03992
1956-10-01,0.04041
1956-11-01,0.04099
1956-12-01,0.04110
1957-01-01,0.04158
1957-02-01,0.04213
1957-03-01,0.04287
1957-04-01,0.04383
1957-05-01,0.04439
1957-06-01,0.04621
1957-07-01,0.04746
1957-08-01,0.04805
1957-09-01,0.04827
1957-10-01,0.04897
1957-11-01,0.04912
1957-12-01,0.04960
1958-01-01,0.04968
1958-02-01,0.04974
1958-03-01,0.05052
1958-04-01,0.05138
1958-05-01,0.05240
1958-06-01,0.05263
1958-07-01,0.05268
1958-08-01,0.05308
1958-09-01,0.05316
1958-10-01,0.05334
1958-11-01,0.05331
1958-12-01,0.05356
1959-01-01,0.05438
1959-02-01,0.05488
1959-03-01,0.05512
1959-04-01,0.05599
1959-05-01,0.05640
1959-06-01,0.05677
1959-07-01,0.05711
1959-08-01,0.05721
1959-09-01,0.05701
1959-10-01,0.05714
1959-11-01,0.05727
1959-12-01,0.05774
1960-01-01,0.05793
1960-02-01,0.05775
1960-03-01,0.05850
1960-04-01,0.05906
1960-05-01,0.05951
1960-06-01,0.05957
1960-07-01,0.05984
1960-08-01,0.06004
1960-09-01,0.06018
1960-10-01,0.06064
1960-11-01,0.06135
1960-12-01,0.06199
1961-01-01,0.06232
1961-02-01,0.06258
1961-03-01,0.06359
1961-04-01,0.06489
1961-05-01,0.06560
1961-06-01,0.06569
1961-07-01,0.06585
1961-08-01,0.06509
1961-09-01,0.06467
1961-10-01,0.06477
1961-11-01,0.06511
1961-12-01,0.06554
1962-01-01,0.06583
1962-02-01,0.06589
1962-03-01,0.06648
1962-04-01,0.06726
1962-05-01,0.06732
1962-06-01,0.06737
1962-07-01,0.06802
1962-08-01,0.06805
1962-09-01,0.06846
1962-10-01,0.06867
1962-11-01,0.06912
1962-12-01,0.06968
1963-01-01,0.07228
1963-02-01,0.07666
1963-03-01,0.08063
1963-04-01,0.08413
1963-05-01,0.08518
1963-06-01,0.08707
1963-07-01,0.08774
1963-08-01,0.08797
1963-09-01,0.08887
1963-10-01,0.09033
1963-11-01,0.09223
1963-12-01,0.09309
1964-01-01,0.09444
1964-02-01,0.09497
1964-03-01,0.09717
1964-04-01,0.09942
1964-05-01,0.10258
1964-06-01,0.10412
1964-07-01,0.10325
1964-08-01,0.10171
1964-09-01,0.10105
1964-10-01,0.10028
1964-11-01,0.10110
1964-12-01,0.10128
1965-01-01,0.10271
1965-02-01,0.10171
1965-03-01,0.10315
1965-04-01,0.10496
1965-05-01,0.10627
1965-06-01,0.10789
1965-07-01,0.10797
1965-08-01,0.10819
1965-09-01,0.10919
1965-10-01,0.11154
1965-11-01,0.11310
1965-12-01,0.11590
1966-01-01,0.11739
1966-02-01,0.11890
1966-03-01,0.12181
1966-04-01,0.12544
1966-05-01,0.12691
1966-06-01,0.12683
1966-07-01,0.12695
1966-08-01,0.12663
1966-09-01,0.12801
1966-10-01,0.12939
1966-11-01,0.12973
1966-12-01,0.13081
1967-01-01,0.13149
1967-02-01,0.13209
1967-03-01,0.13354
1967-04-01,0.13406
1967-05-01,0.13490
1967-06-01,0.13728
1967-07-01,0.13749
1967-08-01,0.13727
1967-09-01,0.13774
1967-10-01,0.13881
1967-11-01,0.13958
1967-12-01,0.14019
1968-01-01,0.14159
1968-02-01,0.14157
1968-03-01,0.14307
1968-04-01,0.14542
1968-05-01,0.14639
1968-06-01,0.14695
1968-07-01,0.14812
1968-08-01,0.14777
1968-09-01,0.14797
1968-10-01,0.14848
1968-11-01,0.14952
1968-12-01,0.14932
1969-01-01,0.15108
1969-02-01,0.15065
1969-03-01,0.15189
1969-04-01,0.15441
1969-05-01,0.15579
1969-06-01,0.15662
1969-07-01,0.15724
1969-08-01,0.15783
1969-09-01,0.15885
1969-10-01,0.16091
1969-11-01,0.16132
1969-12-01,0.16220
1970-01-01,0.16220
1970-02-01,0.16223
1970-03-01,0.16361
1970-04-01,0.16588
1970-05-01,0.16671
1970-06-01,0.16847
1970-07-01,0.16894
1970-08-01,0.16797
1970-09-01,0.16919
1970-10-01,0.16930
1970-11-01,0.17119
1970-12-01,0.17287
1971-01-01,0.17560
1971-02-01,0.17708
1971-03-01,0.17884
1971-04-01,0.18210
1971-05-01,0.18428
1971-06-01,0.18531
1971-07-01,0.18785
1971-08-01,0.18986
1971-09-01,0.19142
1971-10-01,0.19411
1971-11-01,0.19619
1971-12-01,0.19713
1972-01-01,0.19931
1972-02-01,0.20160
1972-03-01,0.20358
1972-04-01,0.20661
1972-05-01,0.20827
1972-06-01,0.21046
1972-07-01,0.21292
1972-08-01,0.21436
1972-09-01,0.21746
1972-10-01,0.22174
1972-11-01,0.22426
1972-12-01,0.22471
1973-01-01,0.22711
1973-02-01,0.23171
1973-03-01,0.23972
1973-04-01,0.24812
1973-05-01,0.25555
1973-06-01,0.26049
1973-07-01,0.26567
1973-08-01,0.26459
1973-09-01,0.26825
1973-10-01,0.26973
1973-11-01,0.27558
1973-12-01,0.27883
1974-01-01,0.28679
1974-02-01,0.29406
1974-03-01,0.30373
1974-04-01,0.31198
1974-05-01,0.31567
1974-06-01,0.31897
1974-07-01,0.32200
